Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City
Maruti,Swift Dzire VDI,Third Party,Diesel,5,"94,112",KA04,First Owner,1248,Manual,2016,28.4,74.02,190,,Jun,2016,70,6.03,Bangalore
Maruti,Swift ZXI 2018,Comprehensive,Petrol,5,"54,074",KA01,First Owner,1197,Manual,2018,22,81.80,113,15,Jun,2018,50,6.72,Bangalore
Skoda,Rapid 1.5 TDI Ambition BSIV,Comprehensive,Diesel,5,"48,686",KA52,Second Owner,1498,Manual,2017,21.13,108.6,250,15,Jun,2017,60,8.63,Bangalore
Hyundai,Elantra 2.0 SX AT,Comprehensive,Petrol,5,"36,576",KA01,Second Owner,1999,Automatic,2017,14.62,149.92,192.2,16,Jun,2017,60,11.71,Bangalore
Hyundai,i10 Magna 1.1,Third Party,Petrol,5,"70,950",KA51,First Owner,1086,Manual,2010,19.81,68.05,99.04,,Jun,2010,75,2.67,Bangalore
Toyota,Glanza G,Third Party,Petrol,5,"24,241",KA20,Second Owner,1197,Manual,2021,21.01,81.80,113,R16,Jun,2021,20,8.44,Bangalore
Maruti,SX4 S Cross Alpha,Third Party,Petrol,5,"34,587",KA03,First Owner,1462,Manual,2020,18.55,103.25,138,16,Jun,2020,30,10.93,Bangalore
Maruti,Swift Dzire VXi,Third Party,Petrol,5,"63,087",KA50,Third Owner,1298,Manual,2012,17.5,85.8,114,14,Jun,2012,75,4.05,Bangalore
Maruti,Ritz VXi,Third Party,Petrol,5,"99,832",KA04,First Owner,1197,Manual,2011,18.5,85.80,114,,Jun,2011,75,3.04,Bangalore
Hyundai,i20 Sportz AT 1.4,Comprehensive,Petrol,5,"66,654",KA51,First Owner,1396,Automatic,2013,15,98.6,136.3,14,Jul,2013,75,3.6,Bangalore
