Brand,Insurance Validity,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement (in cc),Transmission,Mileage (in kmpl),Max Power (in bhp),Wheel Size,Registration Month,Registration Year,Price (in lacs),City
Hyundai,Comprehensive,Petrol,5.0,26072.0,First Owner,1197.0,Manual,18.6,81.86,16,Jun,2018.0,7.41,Bangalore
Renault,Not Available,Diesel,5.0,58337.0,Second Owner,1461.0,Manual,20.45,83.8,16,Jun,2014.0,3.61,Delhi
Maruti,Not Available,Petrol,5.0,16344.0,First Owner,998.0,Automatic,23.1,67.04,,Jun,2017.0,4.5,Jaipur
Ford,Zero Dep,Petrol,5.0,19266.0,First Owner,1194.0,Manual,19.0,94.68,15,Jun,2018.0,7.03,Bangalore
Tata,Third Party,Petrol,5.0,9288.0,First Owner,1199.0,Manual,19.33,86.83,16,Jun,2021.0,6.95,Kolkata
Maruti,Third Party insurance,Petrol,5.0,60000.0,First Owner,1197.0,Manual,22.41,88.5,,,,7.0,Mumbai
Maruti,Not Available,Diesel,7.0,89453.0,First Owner,1248.0,Manual,24.52,88.5,,Dec,2015.0,5.35,Delhi
Toyota,Comprehensive,Diesel,7.0,33906.0,First Owner,2755.0,Automatic,,201.15,18,Feb,2021.0,41.0,Ahmedabad
Maruti,Third Party,Petrol,5.0,3878.0,Second Owner,1197.0,Manual,20.52,81.8,,Jun,2021.0,6.06,Mumbai
Renault,Third Party insurance,Diesel,5.0,110000.0,Second Owner,1461.0,Manual,20.45,83.8,16,,,3.0,Pune
Hyundai,Third Party insurance,Petrol,5.0,60000.0,Second Owner,1086.0,Manual,17.0,,13,,,2.3,Hyderabad
Hyundai,Third Party,Petrol,5.0,39522.0,Second Owner,1197.0,Manual,18.6,81.83,,Jun,2016.0,4.23,Kolkata
Renault,Comprehensive,Petrol,5.0,53819.0,First Owner,799.0,Manual,25.17,53.3,,Nov,2015.0,2.0,Jaipur
Hyundai,Third Party,Petrol,5.0,17255.0,Second Owner,1197.0,Manual,18.9,81.86,,Jun,2017.0,4.66,Mumbai
Honda,Third Party,Petrol,5.0,81042.0,First Owner,1497.0,Manual,16.8,116.3,15,Jun,2012.0,3.15,Kolkata
Renault,Not Available,Petrol,5.0,59709.0,Third Owner,799.0,Manual,25.17,53.3,,May,2016.0,2.56,Hyderabad
Mahindra,Third Party,Diesel,4.0,17179.0,First Owner,2184.0,Manual,15.2,130.0,18,Jun,2021.0,15.51,Delhi
Volkswagen,Comprehensive,Petrol,5.0,54000.0,First Owner,1197.0,Automatic,17.21,103.6,15,May,2015.0,6.45,Mumbai
Ford,Comprehensive,Petrol,5.0,34137.0,Second Owner,1497.0,Manual,17.0,121.36,17,Jun,2018.0,9.35,Delhi
Honda,Not Available,Diesel,5.0,98250.0,First Owner,1498.0,Manual,25.8,98.6,,Jun,2013.0,2.75,Jaipur
Hyundai,Comprehensive,Diesel,5.0,42339.0,First Owner,1186.0,Manual,26.2,73.97,R15,Jun,2019.0,6.52,Delhi
Volkswagen,Not Available,Diesel,5.0,98414.0,Third Owner,1199.0,Manual,22.07,73.9,15,Aug,2011.0,2.5,Bangalore
Hyundai,Third Party insurance,Petrol,5.0,50000.0,First Owner,1197.0,Manual,18.9,82.0,,,,3.1,Agra
Maruti,Third Party,Petrol,5.0,36937.0,Second Owner,1197.0,Manual,19.1,85.8,14,Jun,2013.0,4.68,Bangalore
Hyundai,Comprehensive,CNG,5.0,37082.0,First Owner,1086.0,Manual,30.48,58.0,,Jun,2020.0,5.43,Mumbai
Hyundai,Comprehensive,Petrol,5.0,70473.0,Second Owner,1197.0,Manual,18.6,81.83,,Jun,2014.0,4.87,Bangalore
Audi,Comprehensive,Petrol,5.0,62000.0,First Owner,1798.0,Automatic,15.26,187.74,18,May,2017.0,22.5,Delhi
Hyundai,Comprehensive,Petrol,5.0,31273.0,Second Owner,1497.0,Manual,17.7,113.42,,Jun,2020.0,10.25,Hyderabad
Datsun,Not Available,Petrol,5.0,66293.0,Second Owner,1198.0,Manual,20.63,67.0,,Nov,2015.0,1.7,Delhi
Tata,Third Party,Petrol,5.0,16787.0,First Owner,1199.0,Manual,19.33,86.83,16,Jun,2020.0,7.76,Delhi
Renault,Third Party,Petrol,5.0,35793.0,First Owner,799.0,Manual,25.17,53.3,,Jun,2018.0,3.59,Delhi
Honda,Comprehensive,Petrol,5.0,70000.0,Second Owner,1799.0,Manual,13.5,130.0,15,,,3.85,Bangalore
Maruti,Third Party,Petrol,5.0,10857.0,First Owner,1197.0,Manual,21.01,81.8,R16,Jun,2020.0,7.68,Delhi
Maruti,Third Party,Petrol,5.0,1955.0,Second Owner,1197.0,Manual,21.21,81.8,,Jun,2019.0,5.48,Delhi
Maruti,Available,Diesel,5.0,120000.0,First Owner,1248.0,Manual,24.3,88.5,16,,,5.8,Agra
Skoda,Not Available,Diesel,5.0,97737.0,Second Owner,1498.0,Automatic,21.66,103.52,15,Feb,2015.0,4.11,Jaipur
Kia,Comprehensive,Petrol,5.0,77000.0,First Owner,1353.0,Manual,16.1,138.0,17,Sept,2019.0,11.5,Ahmedabad
Hyundai,Comprehensive,Diesel,5.0,51000.0,First Owner,1995.0,Automatic,16.38,182.46,18,Mar,2019.0,23.0,Pune
Maruti,Third Party insurance,Diesel,5.0,75807.0,First Owner,1248.0,Manual,27.39,74.0,,Sept,2018.0,6.75,Jaipur
Maruti,Not Available,Petrol,5.0,60122.0,First Owner,1197.0,Manual,17.5,85.8,14,Oct,2010.0,3.0,Hyderabad
Ford,Third Party insurance,Diesel,5.0,51000.0,First Owner,1399.0,Manual,20.0,68.0,14,Sept,2010.0,2.99,Hyderabad
Audi,Third Party insurance,Diesel,5.0,50000.0,Second Owner,1968.0,Automatic,16.55,147.51,16,Nov,2012.0,8.89,Mumbai
Maruti,Third Party,Petrol,5.0,62998.0,First Owner,1197.0,Automatic,21.21,81.8,R15,Jun,2018.0,7.56,Bangalore
Maruti,Comprehensive,Petrol,5.0,64883.0,First Owner,1197.0,Manual,20.85,83.14,15,Jun,2016.0,6.53,Hyderabad
Hyundai,Third Party,Petrol,5.0,79586.0,Second Owner,1197.0,Manual,20.36,78.9,13,Jun,2010.0,2.88,Bangalore
Maruti,Third Party insurance,Petrol,5.0,10000.0,First Owner,998.0,Manual,24.35,65.71,,,,5.83,Agra
Hyundai,Third Party,Petrol,5.0,34836.0,First Owner,1197.0,Manual,18.9,81.86,,Jun,2017.0,4.72,Delhi
Renault,Third Party,Petrol,5.0,52624.0,First Owner,1330.0,Manual,16.42,153.0,R17,Feb,2021.0,9.49,Jaipur
Skoda,Comprehensive,Diesel,5.0,89417.0,First Owner,1498.0,Automatic,21.66,103.52,15,Jun,2016.0,7.23,Bangalore
Maruti,Third Party,Petrol,5.0,55455.0,First Owner,1197.0,Manual,21.01,81.8,,Jun,2021.0,6.73,Hyderabad
Honda,Comprehensive,Petrol,5.0,76675.0,Second Owner,1497.0,Manual,16.8,116.4,15,Apr,2009.0,1.9,Delhi
Hyundai,Third Party insurance,Petrol,5.0,60000.0,Fourth Owner,1197.0,Manual,17.19,81.86,16,,,6.0,Bangalore
BMW,Comprehensive,Diesel,5.0,103000.0,Third Owner,1995.0,Automatic,17.05,188.0,17,Nov,2013.0,8.25,Jaipur
Maruti,Comprehensive,Petrol,5.0,27476.0,First Owner,1462.0,Manual,20.65,103.25,16,Jun,2021.0,10.85,Hyderabad
Ford,Not Available,Diesel,5.0,25776.0,First Owner,1498.0,Manual,23.0,98.96,16,Dec,2019.0,8.0,Jaipur
Maruti,Comprehensive,Diesel,5.0,78238.0,Second Owner,1248.0,Manual,25.2,74.0,,Jun,2014.0,4.96,Hyderabad
Maruti,Third Party,Petrol,5.0,20589.0,First Owner,796.0,Manual,24.7,47.3,,Jun,2018.0,3.09,Delhi
Hyundai,Comprehensive,Petrol,5.0,40112.0,First Owner,814.0,Manual,21.1,55.2,,Jun,2016.0,2.98,Hyderabad
MG,Comprehensive,Petrol,5.0,9700.0,First Owner,1451.0,Automatic,13.96,141.0,R17,Jun,2019.0,16.0,Mumbai
